244, 55, 472, 527
245, 480, 2196, 2676
246, 465, 1231, 1696
247, 1115, 2875, 3990
248, 1085, 1671, 2756
249, 4744, 4920, 9664
250, 3626, 3732, 7358
251, 803, 1318, 2121
252, 2832, 4449, 7281
253, 694, 633, 1327
254, 11, 3, 14
255, 4572, 4426, 8998
256, 480, 757, 1237
257, 4701, 3337, 8038
258, 522, 738, 1260
259, 1804, 2385, 4189
260, 512, 909, 1421
261, 4383, 3884, 8267
262, 4604, 4152, 8756
263, 335, 120, 455
264, 725, 694, 1419
265, 365, 236, 601
266, 1762, 2223, 3985
267, 301, 313, 614
268, 17, 77, 94
269, 0, 0, 0
270, 0, 0, 0
271, 21, 90, 111
272, 0, 0, 0
273, 409, 2069, 2478
274, 54, 3174, 3228
275, 55, 4085, 4140
276, 0, 10, 10
277, 64, 1125, 1189
278, 0, 0, 0
279, 46, 892, 938
280, 16, 298, 314
281, 0, 0, 0
282, 123, 2288, 2411
283, 13, 233, 246
284, 1, 11, 12
285, 89, 872, 961
286, 43, 891, 934
287, 603, 11497, 12100
288, 134, 1991, 2125
289, 166, 3307, 3473
290, 719, 6991, 7710
291, 620, 6135, 6755
292, 984, 9760, 10744
293, 786, 5715, 6501
294, 563, 4019, 4582
295, 647, 4613, 5260
296, 587, 4296, 4883
297, 25, 791, 816
298, 92, 1655, 1747
299, 51, 2604, 2655
300, 399, 2458, 2857
301, 517, 1801, 2318
302, 2746, 11612, 14358
303, 548, 1844, 2392
304, 915, 1990, 2905
305, 924, 3199, 4123
306, 1944, 6645, 8589
307, 49, 140, 189
308, 563, 2419, 2982
309, 4805, 10737, 15542
310, 341, 675, 1016
311, 2714, 11779, 14493
312, 2696, 11753, 14449
313, 624, 1552, 2176
314, 1443, 2415, 3858
315, 1040, 3336, 4376
316, 1915, 6070, 7985
317, 859, 2732, 3591
318, 2788, 8800, 11588
319, 9, 118, 127
320, 222, 1292, 1514
321, 64, 825, 889
322, 6, 59, 65
323, 2301, 4670, 6971
324, 203, 2615, 2818
325, 2207, 10820, 13027
326, 2866, 10161, 13027
327, 1975, 6374, 8349
328, 635, 978, 1613
329, 1776, 3357, 5133
330, 38, 46, 84
331, 3382, 5286, 8668
332, 7012, 12715, 19727
333, 1503, 1275, 2778
334, 1456, 1618, 3074
335, 873, 3300, 4173
336, 2432, 9195, 11627
337, 2357, 1297, 3654
338, 870, 1160, 2030
339, 3120, 3918, 7038
340, 1546, 5722, 7268
341, 829, 2957, 3786
342, 3961, 1626, 5587
343, 5214, 2956, 8170
344, 506, 242, 748
345, 12167, 4624, 16791
346, 222, 94, 316
347, 332, 155, 487
348, 299, 141, 440
349, 411, 145, 556
350, 5490, 3403, 8893
351, 6364, 3316, 9680
352, 2685, 1283, 3968
353, 4037, 3738, 7775
354, 12003, 4596, 16599
355, 3113, 1575, 4688
356, 11446, 4232, 15678
357, 2588, 1176, 3764
358, 7193, 2012, 9205
359, 27713, 7947, 35660
360, 2704, 719, 3423
361, 22, 30, 52
362, 26683, 7937, 34620
363, 13011, 3888, 16899
364, 16342, 4476, 20818
365, 5275, 3385, 8660
366, 2070, 385, 2455
367, 8715, 183, 8898
368, 104834, 11584, 116418
369, 22869, 2770, 25639
370, 9802, 2310, 12112
371, 5679, 510, 6189
372, 3125, 965, 4090
373, 255, 520, 775
374, 18, 1359, 1377
375, 6, 589, 595
376, 24, 1996, 2020
377, 0, 30, 30
378, 7, 521, 528
379, 19, 1637, 1656
380, 4462, 263, 4725
381, 164, 6, 170
382, 3768, 464, 4232
383, 4023, 487, 4510
384, 8491, 2407, 10898
385, 613, 381, 994
386, 27639, 8941, 36580
387, 33452, 7910, 41362
388, 0, 0, 0
389, 17, 354, 371
390, 112, 1231, 1343
391, 105, 399, 504
392, 4385, 2003, 6388
393, 4328, 2006, 6334
394, 13271, 10284, 23555
395, 12078, 5422, 17500
396, 3254, 588, 3842
397, 20509, 2716, 23225
398, 12, 196, 208
399, 0, 0, 0
400, 2853, 58, 2911
401, 6796, 381, 7177
402, 1687, 360, 2047
403, 39936, 1873, 41809
404, 0, 34157, 34157
405, 17, 543, 560
406, 5208, 1131, 6339
407, 1, 14, 15
408, 448, 29, 477
409, 0, 0, 0
410, 7, 5, 12
411, 0, 77, 77
412, 0, 0, 0
413, 652, 92, 744
414, 0, 0, 0
415, 13, 1, 14
416, 8938, 5923, 14861
417, 2144, 307, 2451
418, 307, 104, 411
419, 7, 19, 26
420, 978, 2155, 3133
421, 425, 74, 499
422, 1772, 234, 2006
423, 4172, 274, 4446
424, 2783, 156, 2939
425, 4890, 4235, 9125
426, 5479, 104, 5583
427, 7907, 792, 8699
428, 19834, 1376, 21210
429, 231, 308, 539
430, 0, 0, 0
431, 0, 0, 0
432, 8857, 3778, 12635
433, 2414, 408, 2822
434, 0, 0, 0
435, 74, 86, 160
436, 213, 295, 508
437, 4712, 1024, 5736
438, 3023, 829, 3852
439, 1525, 154, 1679
440, 1980, 176, 2156
441, 0, 0, 0
442, 11683, 1093, 12776
443, 0, 51, 51
444, 1069, 30, 1099
445, 79, 773, 852
446, 11169, 1903, 13072
447, 1916, 695, 2611
448, 8699, 2157, 10856
449, 7687, 1938, 9625
450, 3, 381, 384
451, 0, 84, 84
452, 1, 191, 192
453, 1, 82, 83
454, 0, 9230, 9230
455, 245, 122, 367
456, 8283, 453, 8736
457, 0, 0, 0
458, 4847, 459, 5306
459, 1441, 87, 1528
460, 0, 43, 43
461, 0, 0, 0
462, 454, 255, 709
463, 6959, 563, 7522
464, 10429, 1215, 11644
465, 4799, 581, 5380
466, 8663, 839, 9502
467, 26908, 3272, 30180
468, 1855, 699, 2554
469, 6810, 534, 7344
470, 18405, 3206, 21611
471, 15843, 2710, 18553
472, 3459, 1677, 5136
473, 9101, 3292, 12393
474, 12043, 5442, 17485
475, 11942, 3163, 15105
476, 10825, 2473, 13298
477, 9255, 1469, 10724
478, 13194, 12589, 25783
479, 511, 38, 549
480, 4405, 269, 4674
481, 96, 4, 100
482, 398, 16, 414
483, 2590, 134, 2724
484, 4188, 1827, 6015
485, 4105, 693, 4798
486, 17536, 395, 17931
487, 2953, 180, 3133
488, 649, 29, 678
489, 11490, 2940, 14430
490, 5368, 974, 6342
491, 11868, 2523, 14391
492, 2389, 1301, 3690
493, 0, 0, 0
494, 0, 0, 0
495, 3937, 408, 4345
496, 4660, 754, 5414
497, 71, 79, 150
498, 7329, 1673, 9002
499, 11732, 5866, 17598
500, 0, 0, 0
501, 330, 21, 351
502, 2965, 2994, 5959
503, 0, 0, 0
504, 1158, 480, 1638
505, 13294, 4276, 17570
506, 0, 0, 0
507, 4026, 645, 4671
508, 8502, 5079, 13581
509, 22, 359, 381
510, 0, 264, 264
511, 0, 0, 0
512, 4, 21, 25
513, 0, 0, 0
514, 3277, 757, 4034
515, 258, 97, 355
516, 0, 0, 0
517, 72, 17, 89
518, 0, 49, 49
519, 0, 0, 0
520, 1022, 142, 1164
521, 1809, 494, 2303
522, 0, 0, 0
523, 0, 0, 0
524, 0, 0, 0
525, 0, 0, 0
526, 3781, 2559, 6340
527, 0, 0, 0
528, 0, 0, 0
529, 4325, 2859, 7184
530, 0, 0, 0
531, 0, 0, 0
532, 0, 0, 0
533, 0, 0, 0
534, 0, 0, 0
535, 0, 0, 0
536, 0, 0, 0
537, 0, 0, 0
538, 137, 6, 143
539, 0, 0, 0
540, 7, 5, 12
541, 0, 0, 0
542, 0, 9, 9
543, 0, 18, 18
544, 0, 14, 14
545, 0, 0, 0
546, 0, 0, 0
547, 0, 9, 9
548, 896, 678, 1574
549, 0, 0, 0
550, 0, 81, 81
551, 0, 67, 67
552, 0, 0, 0
553, 0, 0, 0
554, 0, 0, 0
555, 0, 0, 0
556, 0, 27, 27
557, 0, 175, 175
558, 0, 0, 0
559, 0, 49, 49
560, 2364, 2589, 4953
561, 0, 0, 0
562, 5423, 6330, 11753
563, 3153, 2404, 5557
564, 242, 328, 570
565, 0, 184, 184
566, 4402, 1133, 5535
567, 4646, 1312, 5958
568, 5471, 1829, 7300
569, 9134, 4325, 13459
570, 5414, 2213, 7627
571, 0, 0, 0
572, 6146, 2165, 8311
573, 27, 29, 56
574, 32, 44, 76
575, 229, 292, 521
